dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
MovieLens,FastPRB,0.85,eps8.33e-07,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-07_T10000_lr10.0073_lr20.0004_202601272227,,10x10000x5,10,10000,2074.0,56.10347582815168,4526.001054048538,13.341919890470974
MovieLens,FastPRB,0.85,eps8.33e-08,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-08_T10000_lr10.0073_lr20.0004_202601270126,,10x10000x5,10,10000,2665.8,61.21568426473725,3947.048947620392,559.1084742589658
MovieLens,FastPRB,0.8,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.8_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601280037,,10x10000x5,10,10000,2074.0,56.10347582815168,2202.529884672165,169.9753406661246
MovieLens,FastPRB,0.9,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.9_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601280037,,10x10000x5,10,10000,2074.0,56.10347582815168,2164.4170512676237,150.27812858827585
MovieLens,PRB,0.6,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.6_powT50_T10000_lr10.0073_lr20.0004_202601280038,,10x10000x5,10,10000,2074.0,56.10347582815168,2259.926906871796,180.4095078537775
MovieLens,PRB,0.7,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.7_powT50_T10000_lr10.0073_lr20.0004_202601280038,,10x10000x5,10,10000,2074.0,56.10347582815168,2243.089553809166,140.9207872593437
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_k10_lr10.0073_lr20.0004_h100_ks40_202603280034,,10x10000x5,10,10000,2054.6,56.9389146366525,2104.5513430595397,98.69987915855513
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601252128,,10x10000x5,10,10000,2859.6,64.03311643204631,3144.5170882940292,18.2650751856743
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601260241,,10x10000x5,10,10000,2137.4,51.196093600977015,3166.48774561882,560.9681040848117
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601272000,,10x10000x5,10,10000,2074.0,56.10347582815168,3013.035303926468,204.17132551384054
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601280037,,10x10000x5,10,10000,2074.0,56.10347582815168,2217.433842897415,131.21244078763303
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_202601290025,,10x10000x5,10,10000,2054.6,56.9389146366525,7636.789668941497,103.48289474465113
MovieLens,PRB,0.85,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.85_powT50_T10000_lr10.0073_lr20.0004_h100_ks40_202603250055,,10x10000x5,10,10000,2054.6,56.9389146366525,4323.547387433052,26.204641516010277
MovieLens,PRB,0.8,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.8_powT50_T10000_lr10.0073_lr20.0004_202601280038,,10x10000x5,10,10000,2074.0,56.10347582815168,2252.6739156007766,172.84193464914688
MovieLens,PRB,0.9,powT50,10000,results/online_link_prediction/MovieLens_PRB_alpha0.9_powT50_T10000_lr10.0073_lr20.0004_202601280038,,10x10000x5,10,10000,2074.0,56.10347582815168,2225.552788066864,152.78628793294797
